시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 서울특별시 강남구 개포동,187,주공5,61.19,1~10,"61,500",8,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,61.19,11~20,"60,000",11,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,61.19,11~20,"62,000",12,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,74.25,1~10,"79,000",13,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,74.25,11~20,"82,500",12,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,74.25,11~20,"80,000",14,1983,삼성로4길
 서울특별시 강남구 개포동,185,주공6,53.06,1~10,"48,000",1,1983,개포로
 서울특별시 강남구 개포동,185,주공6,53.06,21~31,"49,000",13,1983,개포로
 서울특별시 강남구 개포동,185,주공6,53.06,21~31,"49,000",7,1983,개포로
 서울특별시 강남구 개포동,185,주공6,73.02,1~10,"77,100",10,1983,개포로
 서울특별시 강남구 개포동,185,주공6,83.21,1~10,"87,000",1,1983,개포로
 서울특별시 강남구 개포동,185,주공7,53.46,1~10,"49,200",13,1983,개포로
 서울특별시 강남구 개포동,185,주공7,53.46,21~31,"49,500",9,1983,개포로
 서울특별시 강남구 개포동,185,주공7,73.26,1~10,"75,000",7,1983,개포로
 서울특별시 강남구 개포동,185,주공7,73.26,1~10,"78,500",8,1983,개포로
 서울특별시 강남구 개포동,185,주공7,73.26,21~31,"82,000",14,1983,개포로
 서울특별시 강남구 개포동,185,주공7,83.7,1~10,"91,500",15,1983,개포로
 서울특별시 강남구 개포동,185,주공7,83.7,1~10,"95,000",13,1983,개포로
 서울특별시 강남구 개포동,185,주공7,83.7,1~10,"91,000",4,1983,개포로
 서울특별시 강남구 개포동,185,주공7,83.7,11~20,"94,500",3,1983,개포로
 서울특별시 강남구 개포동,185,주공7,83.7,11~20,"97,100",10,1983,개포로
 서울특별시 강남구 개포동,1165,포이현대빌라트,164.18,21~31,"50,000",1,1997,논현로4길
 서울특별시 강남구 개포동,653,현대1,95.4,1~10,"69,000",1,1984,개포로
 서울특별시 강남구 개포동,653,현대1,176.56,1~10,"147,000",7,1984,개포로
 서울특별시 강남구 개포동,654,현대2,84.81,11~20,"84,000",8,1986,언주로
 서울특별시 강남구 개포동,654,현대2,84.81,21~31,"80,000",3,1986,언주로
 서울특별시 강남구 개포동,654,현대2,84.81,21~31,"95,000",7,1986,언주로
 서울특별시 강남구 개포동,654,현대2,131.83,1~10,"127,500",9,1986,언주로
 서울특별시 강남구 개포동,654,현대2,131.83,11~20,"139,500",5,1986,언주로
 서울특별시 강남구 개포동,654,현대2,131.83,11~20,"142,500",4,1986,언주로
 서울특별시 강남구 개포동,654,현대2,165.08,21~31,"173,000",7,1986,언주로
 서울특별시 강남구 개포동,177,현대3,131.83,11~20,"142,000",8,1986,개포로
 서울특별시 강남구 개포동,177,현대3,163.85,11~20,"175,000",8,1986,개포로
 서울특별시 강남구 논현동,276,경복,95.48,1~10,"52,500",10,1978,언주로
 서울특별시 강남구 논현동,276,경복,95.48,11~20,"55,000",6,1978,언주로
 서울특별시 강남구 논현동,276,경복,95.48,21~31,"54,000",7,1978,언주로
 서울특별시 강남구 논현동,214-2,논현베르빌,113.84,1~10,"57,500",6,2002,학동로30길
 서울특별시 강남구 논현동,245,동양파라곤,180.07,1~10,"217,000",5,2004,언주로130길
 서울특별시 강남구 논현동,105,동현,84.92,11~20,"65,000",14,1985,언주로146길
 서울특별시 강남구 논현동,258,두산위브2단지,84.25,11~20,"65,700",2,2004,언주로122길
 서울특별시 강남구 논현동,216-1,두영,84.84,11~20,"27,000",4,2004,논현로124길
 서울특별시 강남구 논현동,216-1,두영,84.84,21~31,"27,000",3,2004,논현로124길
 서울특별시 강남구 논현동,58-2,마일스디오빌,36.29,11~20,"18,300",13,2004,학동로
 서울특별시 강남구 논현동,22,신동아(22),35.73,1~10,"19,300",9,1997,강남대로146길
 서울특별시 강남구 논현동,22,신동아(22),35.73,1~10,"19,000",7,1997,강남대로146길
 서울특별시 강남구 논현동,22,신동아(22),84.52,21~31,"53,000",3,1997,강남대로146길
 서울특별시 강남구 논현동,22,신동아(22),114.34,1~10,"76,000",9,1997,강남대로146길
 서울특별시 강남구 논현동,103,쌍용,84.87,11~20,"42,000",6,1996,도산대로50길
 서울특별시 강남구 논현동,180-6,우성,102,21~31,"35,000",1,2004,강남대로120길
 서울특별시 강남구 논현동,62-3,청학,97.18,1~10,"38,600",4,1976,도산대로
 서울특별시 강남구 논현동,105-4,한진로즈힐,71.54,11~20,"42,300",7,2004,도산대로46길
 서울특별시 강남구 대치동,503,개포우성1,84.81,1~10,"110,000",12,1983,남부순환로
 서울특별시 강남구 대치동,503,개포우성1,127.61,1~10,"170,000",2,1983,남부순환로
 서울특별시 강남구 대치동,503,개포우성1,127.61,1~10,"174,000",10,1983,남부순환로
 서울특별시 강남구 대치동,503,개포우성1,127.61,11~20,"185,000",8,1983,남부순환로
 서울특별시 강남구 대치동,503,개포우성1,127.61,21~31,"198,500",11,1983,남부순환로
 서울특별시 강남구 대치동,503,개포우성1,127.61,21~31,"183,000",10,1983,남부순환로
 서울특별시 강남구 대치동,500,개포우성2,84.69,11~20,"116,500",2,1984,남부순환로
 서울특별시 강남구 대치동,500,개포우성2,127.78,1~10,"179,700",6,1984,남부순환로
 서울특별시 강남구 대치동,500,개포우성2,159.6,11~20,"219,500",2,1984,남부순환로
 서울특별시 강남구 대치동,612,국제,84.69,11~20,"83,800",8,1983,남부순환로395길
 서울특별시 강남구 대치동,612,국제,84.69,21~31,"85,000",10,1983,남부순환로395길
 서울특별시 강남구 대치동,612,국제,84.69,21~31,"85,000",6,1983,남부순환로395길
 서울특별시 강남구 대치동,891-23,대우아이빌명문가(891-23),34.2,11~20,"13,000",11,2004,선릉로90길
 서울특별시 강남구 대치동,891-28,대치동우정에쉐르1,79.07,21~31,"33,420",4,2004,삼성로85길
 서울특별시 강남구 대치동,1014-3,대치삼성,84.58,1~10,"78,500",14,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,84.58,11~20,"79,800",16,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,84.58,21~31,"78,500",25,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,84.58,21~31,"77,000",4,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,1~10,"89,000",1,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,1~10,"100,000",16,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,1~10,"98,500",7,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,11~20,"105,000",12,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,11~20,"95,000",3,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,21~31,"87,000",1,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,21~31,"105,000",11,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,108.52,11~20,"123,500",8,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,108.52,21~31,"122,700",6,2000,도곡로78길
 서울특별시 강남구 대치동,63,대치우성,84.69,1~10,"74,000",8,1984,영동대로
 서울특별시 강남구 대치동,63,대치우성,84.69,1~10,"75,000",1,1984,영동대로
 서울특별시 강남구 대치동,63,대치우성,84.69,11~20,"80,700",10,1984,영동대로
 서울특별시 강남구 대치동,63,대치우성,84.69,11~20,"81,600",5,1984,영동대로
 서울특별시 강남구 대치동,63,대치우성,115.59,1~10,"124,000",11,1984,영동대로
 서울특별시 강남구 대치동,974,대치현대,59.82,11~20,"36,400",4,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,11~20,"39,900",18,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,11~20,"39,000",14,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,11~20,"39,500",13,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,11~20,"37,500",5,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,21~31,"39,000",6,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,21~31,"38,900",3,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,21~31,"39,000",8,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,85,21~31,"70,000",10,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,85,21~31,"70,000",14,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,101.6,21~31,"86,000",15,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,114.59,11~20,"105,000",8,1999,삼성로64길
 서울특별시 강남구 대치동,670,동부센트레빌,121.74,21~31,"179,000",15,2005,선릉로
 서울특별시 강남구 대치동,670,동부센트레빌,145.83,21~31,"226,000",15,2005,선릉로
 서울특별시 강남구 대치동,670,동부센트레빌,145.83,21~31,"234,000",13,2005,선릉로
 서울특별시 강남구 대치동,893,롯데캐슬,105.18,21~31,"88,000",20,2002,삼성로85길
 서울특별시 강남구 대치동,893,롯데캐슬,123.04,11~20,"98,000",22,2002,삼성로85길
 서울특별시 강남구 대치동,893,롯데캐슬,123.04,21~31,"115,000",16,2002,삼성로85길
 서울특별시 강남구 대치동,601-1,미도맨션3차,188.54,1~10,"93,500",1,1990,남부순환로397길
 서울특별시 강남구 대치동,506,선경1차(1동-7동),136.68,21~31,"190,000",12,1983,삼성로
 서울특별시 강남구 대치동,506,선경1차(1동-7동),136.68,21~31,"180,000",7,1983,삼성로
 서울특별시 강남구 대치동,506,선경2차(8동-12동),84.55,11~20,"107,000",1,1985,삼성로
 서울특별시 강남구 대치동,602,선경3차,76.6,1~10,"51,700",8,1990,남부순환로395길
 서울특별시 강남구 대치동,602,선경3차,76.6,1~10,"50,000",9,1990,남부순환로395길
 서울특별시 강남구 대치동,890-49,선릉역대우아이빌(890-49),25.42,1~10,"10,500",14,2004,테헤란로64길
 서울특별시 강남구 대치동,890-49,선릉역대우아이빌(890-49),28.34,1~10,"11,950",12,2004,테헤란로64길
 서울특별시 강남구 대치동,975-20,세영팔레스타운,84.85,11~20,"48,000",1,2002,영동대로65길
 서울특별시 강남구 대치동,66,쌍용대치1,83.56,1~10,"80,800",5,1983,영동대로
 서울특별시 강남구 대치동,66,쌍용대치1,128.03,11~20,"128,250",15,1983,영동대로
 서울특별시 강남구 대치동,66,쌍용대치1,148.8,11~20,"130,000",6,1983,영동대로
 서울특별시 강남구 대치동,65,쌍용대치2,84.49,1~10,"80,000",12,1983,영동대로
 서울특별시 강남구 대치동,65,쌍용대치2,84.49,1~10,"79,750",6,1983,영동대로
 서울특별시 강남구 대치동,65,쌍용대치2,84.49,1~10,"73,900",1,1983,영동대로
 서울특별시 강남구 대치동,985,우성2(대치),84.92,11~20,"65,900",9,1989,도곡로93길
 서울특별시 강남구 대치동,985,우성2(대치),84.92,21~31,"57,500",1,1989,도곡로93길
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"78,400",3,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"77,000",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"78,000",1,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"80,000",14,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"81,000",13,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"78,000",11,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"82,000",8,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"81,800",14,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,"78,500",3,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"79,000",8,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"82,000",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"82,000",6,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"83,800",11,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"80,000",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"85,000",7,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"82,000",7,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,11~20,"80,000",10,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"80,000",14,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"82,000",3,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"81,000",6,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"82,500",13,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"81,000",4,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"80,000",2,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~31,"83,500",4,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,1~10,"95,000",7,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,1~10,"95,300",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,1~10,"94,900",2,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,1~10,"99,500",8,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,11~20,"99,000",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,11~20,"100,000",3,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,11~20,"106,000",11,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"103,000",11,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"104,500",7,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"104,900",9,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"105,000",5,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"107,500",10,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"103,000",2,1979,삼성로
 서울특별시 강남구 대치동,316,은마,84.43,21~31,"106,000",3,1979,삼성로
 서울특별시 강남구 대치동,633,청실1,76.56,21~31,"80,000",4,1979,
 서울특별시 강남구 대치동,633,청실1,84.96,1~10,"90,500",9,1979,남부순환로395길
 서울특별시 강남구 대치동,633,청실1,84.96,11~20,"88,000",1,1979,남부순환로395길
 서울특별시 강남구 대치동,633,청실1,84.96,21~31,"91,000",11,1979,남부순환로395길
